file_id,organism,locus_tag,ess,conf,conf_bert,conf_mean
C039,Pseudomonas aeruginosa MPAO1,PA0001,1,0.1348035782575607,0.9368686676025392,0.5358361229300499
C039,Pseudomonas aeruginosa MPAO1,PA0002,1,0.4297551810741424,0.96353942155838,0.6966473013162612
C039,Pseudomonas aeruginosa MPAO1,PA0003,0,0.0326477773487567,0.1714396476745605,0.1020437125116586
C039,Pseudomonas aeruginosa MPAO1,PA0004,1,0.965816080570221,0.882588267326355,0.924202173948288
C039,Pseudomonas aeruginosa MPAO1,PA0005,0,0.2135936766862869,0.8483628630638123,0.5309782698750496
C039,Pseudomonas aeruginosa MPAO1,PA0006,1,0.0354970134794712,0.1864086091518402,0.11095281131565571
C039,Pseudomonas aeruginosa MPAO1,PA0007,0,0.0266792699694633,0.0763380080461502,0.05150863900780675
C039,Pseudomonas aeruginosa MPAO1,PA0008,1,0.1801003813743591,0.974368929862976,0.5772346556186675
C039,Pseudomonas aeruginosa MPAO1,PA0009,1,0.9356364607810974,0.9931427240371704,0.9643895924091339
C039,Pseudomonas aeruginosa MPAO1,PA0010,0,0.0391493700444698,0.4982693791389465,0.26870937459170813
C039,Pseudomonas aeruginosa MPAO1,PA0011,0,0.0294869802892208,0.4217466413974762,0.2256168108433485
C039,Pseudomonas aeruginosa MPAO1,PA0012,0,0.0332721062004566,0.2930092215538025,0.16314066387712955
C039,Pseudomonas aeruginosa MPAO1,PA0013,0,0.0749385878443718,0.0894637107849121,0.08220114931464195
C039,Pseudomonas aeruginosa MPAO1,PA0014,0,0.0309316869825124,0.1849918067455291,0.10796174686402074
C039,Pseudomonas aeruginosa MPAO1,PA0015,0,0.0653395131230354,0.3835719525814056,0.22445573285222048
C039,Pseudomonas aeruginosa MPAO1,PA0016,0,0.4198865592479706,0.6779366135597229,0.5489115864038467
C039,Pseudomonas aeruginosa MPAO1,PA0017,0,0.0277347117662429,0.3030595779418945,0.1653971448540687
C039,Pseudomonas aeruginosa MPAO1,PA0018,1,0.9714465737342834,0.7170326709747314,0.8442396223545074
C039,Pseudomonas aeruginosa MPAO1,PA0019,1,0.8828915953636169,0.4675659537315368,0.6752287745475769
C039,Pseudomonas aeruginosa MPAO1,PA0020,0,0.1237777173519134,0.0749137178063392,0.0993457175791263
C039,Pseudomonas aeruginosa MPAO1,PA0021,0,0.0299576912075281,0.2599502503871918,0.14495397079735994
C039,Pseudomonas aeruginosa MPAO1,PA0022,1,0.91031014919281,0.2768025696277618,0.5935563594102858
C039,Pseudomonas aeruginosa MPAO1,PA0023,0,0.0394998751580715,0.0911076217889785,0.06530374847352499
C039,Pseudomonas aeruginosa MPAO1,PA0024,1,0.0517135858535766,0.1570556759834289,0.10438463091850275
C039,Pseudomonas aeruginosa MPAO1,PA0025,0,0.0562159642577171,0.1853420734405517,0.1207790188491344
C039,Pseudomonas aeruginosa MPAO1,PA0026,0,0.0292674787342548,0.0869675949215889,0.05811753682792185
C039,Pseudomonas aeruginosa MPAO1,PA0027,0,0.0293259564787149,0.0976843386888504,0.06350514758378265
C039,Pseudomonas aeruginosa MPAO1,PA0028,0,0.0310617443174123,0.1212648600339889,0.0761633021757006
C039,Pseudomonas aeruginosa MPAO1,PA0029,0,0.0343195460736751,0.0885035693645477,0.0614115577191114
C039,Pseudomonas aeruginosa MPAO1,PA0030,0,0.0292037278413772,0.0549801886081695,0.04209195822477335
C039,Pseudomonas aeruginosa MPAO1,PA0031,0,0.029210465028882,0.0796863511204719,0.05444840807467695
C039,Pseudomonas aeruginosa MPAO1,PA0032,0,0.0276601370424032,0.1035126075148582,0.0655863722786307
C039,Pseudomonas aeruginosa MPAO1,PA0033,0,0.0324446521699428,0.0819174498319625,0.05718105100095265
C039,Pseudomonas aeruginosa MPAO1,PA0034,0,0.0623403266072273,0.0755193382501602,0.06892983242869374
C039,Pseudomonas aeruginosa MPAO1,PA0035,0,0.8943204879760742,0.6935905814170837,0.793955534696579
C039,Pseudomonas aeruginosa MPAO1,PA0036,0,0.5592118501663208,0.5271502137184143,0.5431810319423676
C039,Pseudomonas aeruginosa MPAO1,PA0037,0,0.0306495483964681,0.0652880370616912,0.047968792729079654
C039,Pseudomonas aeruginosa MPAO1,PA0038,0,0.0343645364046096,0.3948534429073334,0.21460898965597147
C039,Pseudomonas aeruginosa MPAO1,PA0039,0,0.0324574895203113,0.0542768277227878,0.04336715862154955
C039,Pseudomonas aeruginosa MPAO1,PA0040,0,0.0294557623565197,0.070666566491127,0.05006116442382335
C039,Pseudomonas aeruginosa MPAO1,PA0041,0,0.0306287351995706,0.1173628345131874,0.073995784856379
C039,Pseudomonas aeruginosa MPAO1,PA0042,0,0.0292593371123075,0.1329090595245361,0.0810841983184218
C039,Pseudomonas aeruginosa MPAO1,PA0043,0,0.0270439144223928,0.2839040756225586,0.1554739950224757
C039,Pseudomonas aeruginosa MPAO1,PA0044,0,0.4989810585975647,0.2239524871110916,0.36146677285432816
C039,Pseudomonas aeruginosa MPAO1,PA0045,0,0.0464467220008373,0.0508451871573925,0.0486459545791149
C039,Pseudomonas aeruginosa MPAO1,PA0046,0,0.0350231975317001,0.1614746451377868,0.09824892133474346
C039,Pseudomonas aeruginosa MPAO1,PA0047,0,0.0299173574894666,0.6176034808158875,0.323760419152677
C039,Pseudomonas aeruginosa MPAO1,PA0048,0,0.0264476276934146,0.0866423100233078,0.0565449688583612
C039,Pseudomonas aeruginosa MPAO1,PA0049,0,0.0299113132059574,0.2649490535259247,0.14743018336594105
C039,Pseudomonas aeruginosa MPAO1,PA0050,0,0.0341842137277126,0.1427192240953445,0.08845171891152855
C039,Pseudomonas aeruginosa MPAO1,PA0051,0,0.0287323091179132,0.2007319182157516,0.11473211366683239
C039,Pseudomonas aeruginosa MPAO1,PA0052,0,0.0290828123688697,0.1488133072853088,0.08894805982708925
C039,Pseudomonas aeruginosa MPAO1,PA0053,0,0.0485010221600532,0.1138171106576919,0.08115906640887255
C039,Pseudomonas aeruginosa MPAO1,PA0054,0,0.0302522778511047,0.0932179987430572,0.06173513829708095
C039,Pseudomonas aeruginosa MPAO1,PA0055,0,0.0544361844658851,0.0505241639912128,0.05248017422854895
C039,Pseudomonas aeruginosa MPAO1,PA0056,0,0.0298273302614688,0.0592244379222393,0.04452588409185405
C039,Pseudomonas aeruginosa MPAO1,PA0057,0,0.4065442979335785,0.0598984472453594,0.23322137258946896
C039,Pseudomonas aeruginosa MPAO1,PA0058,0,0.0292071979492902,0.0501200444996356,0.0396636212244629
C039,Pseudomonas aeruginosa MPAO1,PA0059,0,0.0462544821202755,0.0493823289871215,0.0478184055536985
C039,Pseudomonas aeruginosa MPAO1,PA0060,0,0.0452422201633453,0.1050573363900184,0.07514977827668184
C039,Pseudomonas aeruginosa MPAO1,PA0061,0,0.0313573144376277,0.0586272403597831,0.0449922773987054
C039,Pseudomonas aeruginosa MPAO1,PA0062,0,0.0279729478061199,0.1014142632484436,0.06469360552728175
C039,Pseudomonas aeruginosa MPAO1,PA0063,0,0.4631397724151611,0.0379351526498794,0.25053746253252024
C039,Pseudomonas aeruginosa MPAO1,PA0064,0,0.0411034785211086,0.0801207572221756,0.0606121178716421
C039,Pseudomonas aeruginosa MPAO1,PA0065,0,0.0309331398457288,0.0822833552956581,0.05660824757069345
C039,Pseudomonas aeruginosa MPAO1,PA0066,0,0.0331042446196079,0.4320195317268371,0.2325618881732225
C039,Pseudomonas aeruginosa MPAO1,PA0067,0,0.0413804836571216,0.3647820949554443,0.20308128930628294
C039,Pseudomonas aeruginosa MPAO1,PA0068,0,0.0300271790474653,0.0854553431272506,0.05774126108735795
C039,Pseudomonas aeruginosa MPAO1,PA0069,0,0.0298827327787876,0.0808141231536865,0.05534842796623705
C039,Pseudomonas aeruginosa MPAO1,PA0070,0,0.0386729836463928,0.125574380159378,0.0821236819028854
C039,Pseudomonas aeruginosa MPAO1,PA0071,0,0.0313482843339443,0.1510117501020431,0.0911800172179937
C039,Pseudomonas aeruginosa MPAO1,PA0072,0,0.0308950282633304,0.1721600443124771,0.10152753628790376
C039,Pseudomonas aeruginosa MPAO1,PA0073,0,0.029296251013875,0.1048267409205436,0.0670614959672093
C039,Pseudomonas aeruginosa MPAO1,PA0074,0,0.0349333435297012,0.3913935422897339,0.21316344290971753
C039,Pseudomonas aeruginosa MPAO1,PA0075,0,0.8954355716705322,0.1300849914550781,0.5127602815628052
C039,Pseudomonas aeruginosa MPAO1,PA0076,0,0.0253356136381626,0.3249994814395904,0.1751675475388765
C039,Pseudomonas aeruginosa MPAO1,PA0077,0,0.6342844367027283,0.1327262371778488,0.38350533694028854
C039,Pseudomonas aeruginosa MPAO1,PA0078,0,0.1002340838313102,0.1777760088443756,0.1390050463378429
C039,Pseudomonas aeruginosa MPAO1,PA0079,0,0.0479899868369102,0.3601526021957397,0.20407129451632494
C039,Pseudomonas aeruginosa MPAO1,PA0080,0,0.099137507379055,0.1072649359703064,0.1032012216746807
C039,Pseudomonas aeruginosa MPAO1,PA0081,0,0.0270953588187694,0.3925908505916595,0.20984310470521444
C039,Pseudomonas aeruginosa MPAO1,PA0082,0,0.5252277851104736,0.0952008813619613,0.31021433323621744
C039,Pseudomonas aeruginosa MPAO1,PA0083,0,0.0486456006765365,0.5475648641586304,0.2981052324175834
C039,Pseudomonas aeruginosa MPAO1,PA0084,0,0.8252955675125122,0.7916489839553833,0.8084722757339478
C039,Pseudomonas aeruginosa MPAO1,PA0085,0,0.0742660984396934,0.2233050614595413,0.14878557994961733
C039,Pseudomonas aeruginosa MPAO1,PA0086,0,0.5717143416404724,0.3164842128753662,0.4440992772579193
C039,Pseudomonas aeruginosa MPAO1,PA0087,0,0.0281830877065658,0.1221078485250473,0.07514546811580655
C039,Pseudomonas aeruginosa MPAO1,PA0088,0,0.0286309923976659,0.0986884459853172,0.06365971919149155
C039,Pseudomonas aeruginosa MPAO1,PA0089,0,0.032152809202671,0.0910686179995536,0.061610713601112296
C039,Pseudomonas aeruginosa MPAO1,PA0090,0,0.0273328255861997,0.4548604488372803,0.24109663721174
C039,Pseudomonas aeruginosa MPAO1,PA0091,0,0.0281366445124149,0.1280602365732193,0.0780984405428171
C039,Pseudomonas aeruginosa MPAO1,PA0092,1,0.0356089398264884,0.1803590506315231,0.10798399522900576
C039,Pseudomonas aeruginosa MPAO1,PA0093,0,0.0297594591975212,0.0873714312911033,0.058565445244312245
C039,Pseudomonas aeruginosa MPAO1,PA0094,0,0.0460022799670696,0.2069864124059677,0.12649434618651867
C039,Pseudomonas aeruginosa MPAO1,PA0095,0,0.0307942498475313,0.1633385717868805,0.09706641081720589
C039,Pseudomonas aeruginosa MPAO1,PA0096,0,0.0349328070878982,0.0571278780698776,0.0460303425788879
C039,Pseudomonas aeruginosa MPAO1,PA0097,0,0.2434844970703125,0.0789446234703064,0.16121456027030945
C039,Pseudomonas aeruginosa MPAO1,PA0098,0,0.0566940531134605,0.1276130676269531,0.0921535603702068
C039,Pseudomonas aeruginosa MPAO1,PA0099,0,0.0479412227869033,0.0908650010824203,0.0694031119346618
C039,Pseudomonas aeruginosa MPAO1,PA0100,0,0.048989500850439,0.1254361867904663,0.08721284382045266
C039,Pseudomonas aeruginosa MPAO1,PA0101,0,0.0273056291043758,0.1017119362950325,0.06450878269970416
C039,Pseudomonas aeruginosa MPAO1,PA0102,0,0.029853455722332,0.0748816207051277,0.05236753821372985
C039,Pseudomonas aeruginosa MPAO1,PA0103,0,0.0302638839930295,0.0742987394332885,0.052281311713159
C039,Pseudomonas aeruginosa MPAO1,PA0104,0,0.0457536503672599,0.6640757918357849,0.3549147211015224
C039,Pseudomonas aeruginosa MPAO1,PA0105,0,0.0304190870374441,0.2504761517047882,0.14044761937111616
C039,Pseudomonas aeruginosa MPAO1,PA0106,0,0.0303499028086662,0.2159146219491958,0.123132262378931
C039,Pseudomonas aeruginosa MPAO1,PA0107,0,0.0275438874959945,0.09276083111763,0.06015235930681225
C039,Pseudomonas aeruginosa MPAO1,PA0108,0,0.0305679012089967,0.171672910451889,0.10112040583044285
C039,Pseudomonas aeruginosa MPAO1,PA0109,0,0.0327546745538711,0.2375885099172592,0.13517159223556513
C039,Pseudomonas aeruginosa MPAO1,PA0110,0,0.0303421039134264,0.075004756450653,0.0526734301820397
C039,Pseudomonas aeruginosa MPAO1,PA0111,0,0.0318058840930461,0.0822896212339401,0.0570477526634931
C039,Pseudomonas aeruginosa MPAO1,PA0112,0,0.0280116889625787,0.0704158544540405,0.0492137717083096
C039,Pseudomonas aeruginosa MPAO1,PA0113,0,0.0357319340109825,0.4876145124435425,0.2616732232272625
C039,Pseudomonas aeruginosa MPAO1,PA0114,0,0.0311480443924665,0.0968846008181572,0.06401632260531184
C039,Pseudomonas aeruginosa MPAO1,PA0115,0,0.0286276098340749,0.0967351645231247,0.06268138717859979
C039,Pseudomonas aeruginosa MPAO1,PA0116,0,0.0273298546671867,0.0469739362597465,0.0371518954634666
C039,Pseudomonas aeruginosa MPAO1,PA0117,0,0.0632382854819297,0.104374848306179,0.08380656689405436
C039,Pseudomonas aeruginosa MPAO1,PA0118,0,0.0405239574611187,0.0858020335435867,0.0631629955023527
C039,Pseudomonas aeruginosa MPAO1,PA0119,0,0.038136813789606,0.1223029866814613,0.08021990023553366
C039,Pseudomonas aeruginosa MPAO1,PA0120,0,0.0525468215346336,0.0843474119901657,0.06844711676239965
C039,Pseudomonas aeruginosa MPAO1,PA0121,0,0.0295109543949365,0.1226077899336814,0.07605937216430896
C039,Pseudomonas aeruginosa MPAO1,PA0122,0,0.0311745218932628,0.0378366261720657,0.03450557403266425
C039,Pseudomonas aeruginosa MPAO1,PA0123,0,0.029858848080039,0.0506548471748828,0.0402568476274609
C039,Pseudomonas aeruginosa MPAO1,PA0124,0,0.8840441107749939,0.105305291712284,0.49467470124363894
C039,Pseudomonas aeruginosa MPAO1,PA0125,0,0.0296275168657302,0.0880481228232383,0.05883781984448425
C039,Pseudomonas aeruginosa MPAO1,PA0126,0,0.0534467697143554,0.1327402591705322,0.09309351444244379
C039,Pseudomonas aeruginosa MPAO1,PA0127,0,0.0264544319361448,0.4307259321212768,0.2285901820287108
C039,Pseudomonas aeruginosa MPAO1,PA0128,0,0.0356988236308097,0.4133621752262115,0.2245304994285106
C039,Pseudomonas aeruginosa MPAO1,PA0129,0,0.0318115167319774,0.113239474594593,0.0725254956632852
C039,Pseudomonas aeruginosa MPAO1,PA0130,0,0.0312411244958639,0.093304693698883,0.06227290909737345
C039,Pseudomonas aeruginosa MPAO1,PA0131,0,0.3369854986667633,0.0691577047109603,0.2030716016888618
C039,Pseudomonas aeruginosa MPAO1,PA0132,0,0.0335383638739585,0.061637707054615,0.04758803546428675
C039,Pseudomonas aeruginosa MPAO1,PA0133,0,0.0282249301671981,0.0504737496376037,0.0393493399024009
C039,Pseudomonas aeruginosa MPAO1,PA0134,0,0.03122747130692,0.1220143809914588,0.0766209261491894
C039,Pseudomonas aeruginosa MPAO1,PA0135,0,0.0318949744105339,0.1662066578865051,0.0990508161485195
C039,Pseudomonas aeruginosa MPAO1,PA0136,0,0.0333067178726196,0.1708848625421524,0.102095790207386
C039,Pseudomonas aeruginosa MPAO1,PA0137,0,0.0234531983733177,0.1008723527193069,0.062162775546312304
C039,Pseudomonas aeruginosa MPAO1,PA0138,0,0.0297224950045347,0.102895013988018,0.06630875449627635
C039,Pseudomonas aeruginosa MPAO1,PA0139,0,0.0316647477447986,0.4034394025802612,0.2175520751625299
C039,Pseudomonas aeruginosa MPAO1,PA0140,0,0.067719466984272,0.3384965062141418,0.2031079865992069
C039,Pseudomonas aeruginosa MPAO1,PA0141,0,0.0270190965384244,0.1373519301414489,0.08218551333993665
C039,Pseudomonas aeruginosa MPAO1,PA0142,0,0.0306359846144914,0.079247198998928,0.0549415918067097
C039,Pseudomonas aeruginosa MPAO1,PA0143,0,0.0313686989247798,0.1246959269046783,0.07803231291472905
C039,Pseudomonas aeruginosa MPAO1,PA0144,0,0.0284610092639923,0.1353238523006439,0.0818924307823181
C039,Pseudomonas aeruginosa MPAO1,PA0145,0,0.0307139791548252,0.104901984333992,0.06780798174440861
C039,Pseudomonas aeruginosa MPAO1,PA0146,0,0.0330915078520774,0.105136938393116,0.0691142231225967
C039,Pseudomonas aeruginosa MPAO1,PA0147,0,0.0254876893013715,0.0655210241675376,0.045504356734454555
C039,Pseudomonas aeruginosa MPAO1,PA0148,0,0.0283289216458797,0.1544431298971176,0.09138602577149864
