file_id,organism,locus_tag,ess,conf,conf_esm2,conf_bert,conf_t5,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.1544919908046722,0.0103176888078451,0.2466098815202713,0.0378117673099041,0.11230783211067318
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.2001786082983017,0.6056390404701233,0.3631139993667602,0.1266333013772964,0.3238912373781204
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.0575143955647945,0.1009567156434059,0.2512242496013641,0.3174072504043579,0.1817756528034806
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.244504690170288,0.5221937894821167,0.4666074514389038,0.2146121561527252,0.36197952181100845
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.1219179555773735,0.0943245291709899,0.0911191552877426,0.1558607369661331,0.11580559425055978
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.1157553270459175,0.2250235974788665,0.405454009771347,0.2822272479534149,0.25711504556238646
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.055692546069622,0.0284985322505235,0.2402050197124481,0.1359530538320541,0.11508728796616194
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.187820702791214,0.1270728409290313,0.3209760785102844,0.2448186725378036,0.2201720736920833
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.0633050128817558,0.1097561046481132,0.4755814969539642,0.0799242928624153,0.18214172683656213
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.0898876711726188,0.0675798654556274,0.1703146994113922,0.1593827307224273,0.12179124169051643
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.0647574812173843,0.018725898116827,0.2575145661830902,0.0201456733047962,0.09028590470552443
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.0604196079075336,0.0270968079566955,0.1515562534332275,0.0020603449083864,0.060283253551460754
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.8854110240936279,0.8728612661361694,0.7861143946647644,0.948307991027832,0.8731736689805984
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.1297364681959152,0.8214396834373474,0.8147737979888916,0.751796305179596,0.6294365637004375
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.0676379278302192,0.0082639623433351,0.1063565239310264,0.0440639927983284,0.05658060172572728
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.2830128073692322,0.1239865124225616,0.2972006797790527,0.2774763405323028,0.2454190850257873
